time,ankle_angle_r,ankle_angle_l
9.8333333,-17.80860497,-15.40351792
9.85,-17.51634898,-14.62443231
9.8666667,-15.50302128,-14.05033836
9.8833333,-11.91509906,-12.68431581
9.9,-0.50726752,-10.99609134
9.9166667,8.2332221,-9.87700792
9.9333333,6.04950713,-9.34200553
9.95,1.808986,-9.21839852
9.9666667,-0.70547673,-8.05777333
9.9833333,-0.24820239,-5.94729473
10.0,2.23766244,-3.22781111
10.0166667,6.32374011,-0.20776211
10.0333333,11.04629463,2.35723348
10.05,14.59341964,4.11438498
10.0666667,16.81514385,4.94755313
10.0833333,17.75855371,4.86263692
10.1,17.85483226,4.32792656
10.1166667,16.89686995,3.61862989
10.1333333,11.108819,3.14618908
10.15,1.29335307,2.7203294
10.1666667,-6.54201425,2.99339788
10.1833333,-12.7204636,3.50372486
10.2,-17.88639572,3.65742789
10.2166667,-22.50269698,3.10120715
10.2333333,-26.58483815,1.77113121
10.25,-29.96233411,0.88510298
10.2666667,-32.23900572,-0.49908318
10.2833333,-33.29751694,-2.69906376
10.3,-33.25989362,-5.72871871
10.3166667,-31.87611465,-8.44498647
10.3333333,-28.99145208,-10.34531847
10.35,-24.87707187,-10.84365864
10.3666667,-21.51605223,-9.25428418
10.3833333,-19.53287132,-6.67823608
10.4,-17.76692953,-4.5374171
10.4166667,-17.81881443,-3.35170728
10.4333333,-19.64366242,-2.93094006
10.45,-20.84194409,-2.80915767
10.4666667,-22.69650507,-2.21404047
10.4833333,-25.09247407,-0.83831201
10.5,-26.19920783,3.08071748
10.5166667,-25.68326605,7.37922037
10.5333333,-25.46294857,10.08935113
10.55,-28.47352953,9.99078244
10.5666667,-34.14017165,6.69291529
10.5833333,-38.09021266,0.83965101
10.6,-38.06703051,-5.32758829
10.6166667,-34.22137461,-4.28156353
10.6333333,-27.90044452,-3.80928268
10.65,-20.7597958,-4.21107502
10.6666667,-14.46494048,-4.32932343
10.6833333,-10.77439873,-5.66819
10.7,-9.5235709,-6.69978656
10.7166667,-9.8439521,-7.99948366
10.7333333,-10.21412789,-7.64897209
10.75,-10.50024744,-7.12588109
10.7666667,-10.75971221,-6.07353794
10.7833333,-11.05126278,-6.76144591
10.8,-11.50862951,-9.51335043
10.8166667,-11.700918,-13.5838657
10.8333333,-11.25644397,-17.22032323
10.85,-10.52416276,-18.67618623
10.8666667,-9.74886194,-18.57799372
10.8833333,-9.18199946,-18.07810181
10.9,-8.82774069,-17.33449996
10.9166667,-8.95654286,-16.87615514
10.9333333,-9.57619791,-16.57233919
10.95,-10.83894184,-17.10640214
10.9666667,-12.20297089,-17.90272775
10.9833333,-13.91081054,-18.15632223
11.0,-15.49873769,-18.06440781
11.0166667,-16.87781266,-17.82440788
11.0333333,-17.52299913,-17.49522816
11.05,-17.9808381,-17.09511987
11.0666667,-18.00681109,-16.58320582
11.0833333,-16.77047709,-15.83543195
11.1,-13.1600018,-14.5253581
11.1166667,-6.63930473,-11.9663695
11.1333333,13.89829608,-8.52424513
11.15,16.20429598,-6.28774394
